system:index,Meann
A20000203_1700,"{temperature=-6.056693265593489, total_precipitation=1.3779164480768704E-4, pressure=75215.40199022557, wind_u=0.6494759367148026, wind_v=-2.6913286578126314, longwave_radiation=200.46561310986567, convective_fraction=0.0, potential_energy=0.21474710771184813, potential_evaporation=0.04540254852693487, shortwave_radiation=243.95507289394482}"
A20000203_1800,"{temperature=-4.835564790015715, total_precipitation=0.009326167269514319, pressure=75265.85476378498, wind_u=-0.44108926747107746, wind_v=-2.8273545572521206, longwave_radiation=214.80689455228207, convective_fraction=0.0, potential_energy=0.32221199988955473, potential_evaporation=0.04540254852693487, shortwave_radiation=374.5440015738468}"
A20000203_1900,"{temperature=-4.719271888891934, total_precipitation=0.005484822044896045, pressure=75170.01990087533, wind_u=-0.5086481486594695, wind_v=-2.8653557721512017, longwave_radiation=214.80709611508405, convective_fraction=0.0, potential_energy=0.21916249275202263, potential_evaporation=0.1214578015848911, shortwave_radiation=425.30382886489804}"
A20000203_2000,"{temperature=-4.604131485214107, total_precipitation=0.021638948560068483, pressure=75074.12183173651, wind_u=-0.5769207830576804, wind_v=-2.903428224314549, longwave_radiation=214.80687080652726, convective_fraction=0.0, potential_energy=0.11644697241626868, potential_evaporation=0.1214578015848911, shortwave_radiation=431.4572615898614}"
A20000203_2100,"{temperature=-4.488152248943846, total_precipitation=0.012053455559543867, pressure=74978.26620702984, wind_u=-0.6450280255128804, wind_v=-2.9415771598972866, longwave_radiation=173.42929204517233, convective_fraction=0.0, potential_energy=0.013300715133776961, potential_evaporation=0.1214578015848911, shortwave_radiation=437.80573981831765}"
A20000203_2200,"{temperature=-5.870509705386952, total_precipitation=0.0043786122539139095, pressure=75080.34083110139, wind_u=-1.136088024960655, wind_v=-2.5903785515089615, longwave_radiation=173.4339373774747, convective_fraction=0.0, potential_energy=0.013298948007841626, potential_evaporation=0.06741026865836483, shortwave_radiation=322.4678585194798}"
A20000203_2300,"{temperature=-7.252082999696259, total_precipitation=0.004871491288621368, pressure=75182.50080514674, wind_u=-1.6266272744843584, wind_v=-2.23948256343706, longwave_radiation=173.4378976723639, convective_fraction=0.0, potential_energy=0.013298948007841626, potential_evaporation=0.06741026865836483, shortwave_radiation=207.55487886903933}"
A20000204_0000,"{temperature=-8.634516663445327, total_precipitation=0.002792572548803049, pressure=75284.62339647122, wind_u=-2.1180848772675813, wind_v=-1.888414004473038, longwave_radiation=153.92771847474947, convective_fraction=0.0, potential_energy=0.013605102576138284, potential_evaporation=0.06741026865836483, shortwave_radiation=36.71296595521441}"
A20000204_0100,"{temperature=-10.202465416793201, total_precipitation=0.03361711903249855, pressure=75125.65473065132, wind_u=-2.623334897976089, wind_v=-1.143554684264296, longwave_radiation=153.93171935831245, convective_fraction=0.0, potential_energy=0.0090096915813016, potential_evaporation=-0.0164882734627385, shortwave_radiation=0.0}"
A20000204_0200,"{temperature=-11.770991247204327, total_precipitation=0.006450904271474724, pressure=74966.68842670572, wind_u=-3.1297037302924053, wind_v=-0.3983665129635256, longwave_radiation=153.93550156004076, convective_fraction=0.0, potential_energy=0.004505729353618468, potential_evaporation=-0.0164882734627385, shortwave_radiation=0.0}"
A20000204_0300,"{temperature=-13.33997542590494, total_precipitation=7.969572300300967E-4, pressure=74807.74821327002, wind_u=-3.6349167518016396, wind_v=0.34642018941381153, longwave_radiation=143.12851947980235, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.0164882734627385, shortwave_radiation=0.0}"
A20000204_0400,"{temperature=-13.382534445150043, total_precipitation=0.01222194273407516, pressure=74819.8395261894, wind_u=-3.784638705580254, wind_v=0.33947648894165744, longwave_radiation=143.12862909683304, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.010088259657067127, shortwave_radiation=0.0}"
A20000204_0500,"{temperature=-13.425097053869717, total_precipitation=0.005665292542176327, pressure=74831.99643482346, wind_u=-3.934836126680841, wind_v=0.33205317944611684, longwave_radiation=143.12905072203665, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.010088259657067127, shortwave_radiation=0.0}"
A20000204_0600,"{temperature=-13.467732832647624, total_precipitation=0.007263500566032529, pressure=74844.13489466275, wind_u=-4.085655355219922, wind_v=0.3249366319684126, longwave_radiation=144.95200734461716, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.010088259657067127, shortwave_radiation=0.0}"
A20000204_0700,"{temperature=-13.144808515338086, total_precipitation=0.007702404947952622, pressure=74822.1398627717, wind_u=-3.8889651268741185, wind_v=1.0552621696993125, longwave_radiation=144.94998426153464, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-2.8454593146864753E-4, shortwave_radiation=0.0}"
A20000204_0800,"{temperature=-12.821563078112465, total_precipitation=0.09928627164038994, pressure=74800.17497998178, wind_u=-3.6924281414805207, wind_v=1.786299803959468, longwave_radiation=144.94965706712333, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-2.8454593146864753E-4, shortwave_radiation=0.0}"
A20000204_0900,"{temperature=-12.498955739017568, total_precipitation=0.001020736118397438, pressure=74778.18148742305, wind_u=-3.4955714167379965, wind_v=2.5165137918657003, longwave_radiation=155.2829248695365, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-2.8454593146864753E-4, shortwave_radiation=0.0}"
A20000204_1000,"{temperature=-12.304066046331812, total_precipitation=0.20935808045945287, pressure=74741.3250838004, wind_u=-3.114507827815668, wind_v=2.87106248446862, longwave_radiation=155.28224204103057, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.00373146312505177, shortwave_radiation=0.0}"
A20000204_1100,"{temperature=-12.108059198718811, total_precipitation=0.15726011541541277, pressure=74704.42828367896, wind_u=-2.733526244581275, wind_v=3.225518679073367, longwave_radiation=155.28221166855351, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.00373146312505177, shortwave_radiation=0.0}"
A20000204_1200,"{temperature=-11.912306927685876, total_precipitation=0.006802264130104647, pressure=74667.523001353, wind_u=-2.3531269845652605, wind_v=3.579705939199825, longwave_radiation=147.6999815004005, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.00373146312505177, shortwave_radiation=0.0}"
A20000204_1300,"{temperature=-11.747091697269223, total_precipitation=0.008880122594361765, pressure=74645.52448491046, wind_u=-2.293477372504625, wind_v=3.6600176712593546, longwave_radiation=147.69934257392944, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0031118452660352887, shortwave_radiation=0.0}"
A20000204_1400,"{temperature=-11.581584062732956, total_precipitation=0.09057735593781932, pressure=74623.51824806031, wind_u=-2.2333881878675763, wind_v=3.7401239749289017, longwave_radiation=147.69898473092758, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0031118452660352887, shortwave_radiation=0.0}"
A20000204_1500,"{temperature=-11.416179142391679, total_precipitation=0.04302089626418536, pressure=74601.52805478091, wind_u=-2.174344644780076, wind_v=3.8201016097412843, longwave_radiation=164.22405472568138, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0031118452660352887, shortwave_radiation=44.322541127095015}"
A20000204_1600,"{temperature=-8.792563989286771, total_precipitation=0.0, pressure=74609.36557003619, wind_u=-1.989290664605021, wind_v=3.8662216638595157, longwave_radiation=164.21657895463466, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.08542262473424085, shortwave_radiation=182.49814882513752}"
A20000204_1700,"{temperature=-6.169036088024939, total_precipitation=0.1163589474556148, pressure=74617.20594748328, wind_u=-1.8042366844299629, wind_v=3.911736753458321, longwave_radiation=164.2088828450727, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.08542262473424085, shortwave_radiation=296.2383164535993}"
A20000204_1800,"{temperature=-3.545472015904114, total_precipitation=0.2340644476350885, pressure=74625.1463083635, wind_u=-1.6187668774332515, wind_v=3.957849904740869, longwave_radiation=208.80749786012106, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.08542262473424085, shortwave_radiation=395.50044528812435}"
A20000204_1900,"{temperature=-3.5874558908799514, total_precipitation=0.1774121627964768, pressure=74604.98100312012, wind_u=-0.6258759698484136, wind_v=4.436884336085264, longwave_radiation=208.80665681862115, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.17055459314686472, shortwave_radiation=449.23476384018596}"
A20000204_2000,"{temperature=-3.6297197448711698, total_precipitation=0.14074377502277943, pressure=74584.8114567745, wind_u=0.3667426898970098, wind_v=4.915755584394073, longwave_radiation=208.80539304746392, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.17055459314686472, shortwave_radiation=455.62711090171325}"
A20000204_2100,"{temperature=-3.671812684650832, total_precipitation=0.08467507247977474, pressure=74564.69967970844, wind_u=1.3582469558494634, wind_v=5.394599497473563, longwave_radiation=263.53802855012856, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.17055459314686472, shortwave_radiation=362.47241701410957}"
A20000204_2200,"{temperature=-3.7805922633017417, total_precipitation=0.0060309026147941595, pressure=74531.14132865788, wind_u=0.8086415219372124, wind_v=4.537329154816802, longwave_radiation=263.53831018582446, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.10241452356628107, shortwave_radiation=267.6715058674105}"
A20000204_2300,"{temperature=-3.888504293563776, total_precipitation=0.14666336250931888, pressure=74497.54732280424, wind_u=0.2592812767484884, wind_v=3.680024297981613, longwave_radiation=263.53763011845274, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.10241452356628107, shortwave_radiation=173.43881249137152}"
A20000205_0000,"{temperature=-3.996258663058763, total_precipitation=0.0, pressure=74464.01156335422, wind_u=-0.2910729767788608, wind_v=2.8218430571278703, longwave_radiation=197.93182372918795, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.10241452356628107, shortwave_radiation=49.50528271253834}"
A20000205_0100,"{temperature=-5.257287185575814, total_precipitation=0.11926228290581777, pressure=74421.7654217633, wind_u=0.45424082613137484, wind_v=3.2111171549272437, longwave_radiation=197.93504183118426, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.003946895104508934, shortwave_radiation=0.0}"
A20000205_0200,"{temperature=-6.51839301985254, total_precipitation=0.044149465720518005, pressure=74379.53947234724, wind_u=1.1991156086920514, wind_v=3.600289642985339, longwave_radiation=197.93899908882565, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.003946895104508934, shortwave_radiation=0.0}"
A20000205_0300,"{temperature=-7.78058259933179, total_precipitation=0.009259886241267912, pressure=74337.34235828483, wind_u=1.9441309329872702, wind_v=3.989603501118261, longwave_radiation=204.53751884474153, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.003946895104508934, shortwave_radiation=0.0}"
A20000205_0400,"{temperature=-7.391267360631725, total_precipitation=0.029451522765552095, pressure=74389.21657398462, wind_u=2.072672501863767, wind_v=3.6250307866471565, longwave_radiation=204.5353052433941, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=4.69240964188089E-4, shortwave_radiation=0.0}"
A20000205_0500,"{temperature=-7.0018587955932095, total_precipitation=0.08467507247977474, pressure=74441.08021039853, wind_u=2.2015390562443056, wind_v=3.261211585719416, longwave_radiation=204.5332382582766, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=4.69240964188089E-4, shortwave_radiation=0.0}"
A20000205_0600,"{temperature=-6.612037164867306, total_precipitation=0.509884838611702, pressure=74492.94834911778, wind_u=2.3300864235027747, wind_v=2.897122069746253, longwave_radiation=255.89207444018007, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=4.69240964188089E-4, shortwave_radiation=0.0}"
A20000205_0700,"{temperature=-6.221898003699898, total_precipitation=0.18112522020045843, pressure=74490.00287572139, wind_u=2.3297161553966386, wind_v=2.8121001187287757, longwave_radiation=255.89182593809562, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.018227812905541603, shortwave_radiation=0.0}"
A20000205_0800,"{temperature=-5.831066626170013, total_precipitation=0.0853952011486319, pressure=74487.04405859132, wind_u=2.3303909766131925, wind_v=2.72717232239004, longwave_radiation=255.8917756854517, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.018227812905541603, shortwave_radiation=0.0}"
A20000205_0900,"{temperature=-5.440653008255767, total_precipitation=0.14709864152193727, pressure=74484.09543777784, wind_u=2.330238009774417, wind_v=2.6423787171770163, longwave_radiation=261.25579562084135, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.018227812905541603, shortwave_radiation=0.0}"
A20000205_1000,"{temperature=-5.393502774939926, total_precipitation=0.008544976116188534, pressure=74505.72998011987, wind_u=2.526935417069331, wind_v=2.45112102051523, longwave_radiation=261.2553748239779, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0197964491813237, shortwave_radiation=0.0}"
A20000205_1100,"{temperature=-5.346279371565822, total_precipitation=0.08470638374244145, pressure=74527.38584780632, wind_u=2.7232020874175134, wind_v=2.2600604688405985, longwave_radiation=261.2546610707679, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0197964491813237, shortwave_radiation=0.0}"
A20000205_1200,"{temperature=-5.298669685506781, total_precipitation=0.04189926829941744, pressure=74549.0459761991, wind_u=2.9197699975149813, wind_v=2.06854543446448, longwave_radiation=253.97985448822396, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.0197964491813237, shortwave_radiation=0.0}"
A20000205_1300,"{temperature=-5.749956097965025, total_precipitation=0.00852411022448022, pressure=74571.34403097992, wind_u=2.726298975619184, wind_v=1.8404097523262568, longwave_radiation=253.98286799017052, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.011250724797746914, shortwave_radiation=0.0}"
A20000205_1400,"{temperature=-6.199938426705667, total_precipitation=0.084783107380512, pressure=74593.63005163333, wind_u=2.5326037496203444, wind_v=1.6121801916227192, longwave_radiation=253.98508656155948, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.011250724797746914, shortwave_radiation=0.0}"
A20000205_1500,"{temperature=-6.650314769307215, total_precipitation=0.3622490101333628, pressure=74615.94217080373, wind_u=2.338758041803574, wind_v=1.3846478173233565, longwave_radiation=254.4986056271919, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.011250724797746914, shortwave_radiation=38.88938918187594}"
A20000205_1600,"{temperature=-5.681456222216066, total_precipitation=0.11492784051688439, pressure=74579.949096833, wind_u=1.9278380318634905, wind_v=1.7357127868128233, longwave_radiation=254.4942292293677, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.07391196246893017, shortwave_radiation=152.05208029378474}"
A20000205_1700,"{temperature=-4.712324598945224, total_precipitation=0.15107853218102005, pressure=74543.8694665489, wind_u=1.517046966894001, wind_v=2.086051577988237, longwave_radiation=254.489061214347, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.07391196246893017, shortwave_radiation=245.2174286384846}"
A20000205_1800,"{temperature=-3.742701769887048, total_precipitation=0.07523231631554246, pressure=74507.864987713, wind_u=1.1060822265786794, wind_v=2.437411436618165, longwave_radiation=271.0003423806501, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.07391196246893017, shortwave_radiation=298.0800675925674}"
A20000205_1900,"{temperature=-3.5148388878150967, total_precipitation=0.11363199050169812, pressure=74493.44178893896, wind_u=1.8455393875804187, wind_v=2.746755667228099, longwave_radiation=270.99952039097684, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.10229513212027506, shortwave_radiation=338.41443247646134}"
A20000205_2000,"{temperature=-3.2866485352182457, total_precipitation=0.09980424662451337, pressure=74478.98953668174, wind_u=2.585406024794987, wind_v=3.0574826738824323, longwave_radiation=270.9990556920785, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.10229513212027506, shortwave_radiation=343.2579253113183}"
A20000205_2100,"{temperature=-3.0592961868735458, total_precipitation=0.45613009912472074, pressure=74464.55502636882, wind_u=3.3247223679487563, wind_v=3.367797995416518, longwave_radiation=270.63140845459316, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=0.10229513212027506, shortwave_radiation=259.8419353894581}"
A20000205_2200,"{temperature=-3.2801993538945577, total_precipitation=0.17309450810392915, pressure=74469.38030455317, wind_u=3.769860562719168, wind_v=3.1036369660656624, longwave_radiation=270.63229919651, convective_fraction=0.0, potential_energy=2.6346084987712963, potential_evaporation=0.06570379655962673, shortwave_radiation=192.1199639948091}"
A20000205_2300,"{temperature=-3.5016210619322203, total_precipitation=0.16059534472761416, pressure=74474.20091145043, wind_u=4.214461992986723, wind_v=2.8403470745782364, longwave_radiation=270.6334961482178, convective_fraction=0.0, potential_energy=5.26903233288235, potential_evaporation=0.06570379655962673, shortwave_radiation=125.21652130215108}"
A20000206_0000,"{temperature=-3.722752022530836, total_precipitation=0.037464063837424434, pressure=74479.02308501535, wind_u=4.659561807990726, wind_v=2.57635889223293, longwave_radiation=241.55872904989383, convective_fraction=0.0, potential_energy=7.9029732998315785, potential_evaporation=0.06570379655962673, shortwave_radiation=33.4566127509181}"
A20000206_0100,"{temperature=-4.666051301874791, total_precipitation=0.08751545959079993, pressure=74504.59805947485, wind_u=4.461731231189774, wind_v=2.492105917110749, longwave_radiation=241.56039815556247, convective_fraction=0.0, potential_energy=5.630293619018694, potential_evaporation=-0.005261537399563744, shortwave_radiation=0.0}"
A20000206_0200,"{temperature=-5.6099679708424, total_precipitation=0.05425611453184971, pressure=74530.18457105779, wind_u=4.264082889250903, wind_v=2.406645221857138, longwave_radiation=241.5621978628822, convective_fraction=0.0, potential_energy=3.3571655299997256, potential_evaporation=-0.005261537399563744, shortwave_radiation=0.0}"
A20000206_0300,"{temperature=-6.552637435458466, total_precipitation=0.3029889885965154, pressure=74555.83959577, wind_u=4.066017063809814, wind_v=2.322225474224813, longwave_radiation=187.57140182787094, convective_fraction=0.0, potential_energy=1.0841150840765394, potential_evaporation=-0.005261537399563744, shortwave_radiation=0.0}"
A20000206_0400,"{temperature=-7.011651986636092, total_precipitation=0.030958977828091795, pressure=74537.92866499166, wind_u=4.176164784493469, wind_v=2.3572592981196694, longwave_radiation=187.5729041610294, convective_fraction=0.0, potential_energy=0.7227619073915564, potential_evaporation=-0.02507413921639009, shortwave_radiation=0.0}"
A20000206_0500,"{temperature=-7.470974128171836, total_precipitation=0.04117825330645832, pressure=74519.98193030903, wind_u=4.28607587596985, wind_v=2.3920001656680587, longwave_radiation=187.57423696054343, convective_fraction=0.0, potential_energy=0.36157362564541506, potential_evaporation=-0.02507413921639009, shortwave_radiation=0.0}"
A20000206_0600,"{temperature=-7.929308059750923, total_precipitation=0.10182887318110283, pressure=74502.05894773177, wind_u=4.395993870281912, wind_v=2.425792583593341, longwave_radiation=199.98983267526307, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.02507413921639009, shortwave_radiation=0.0}"
A20000206_0700,"{temperature=-7.451418670789943, total_precipitation=0.03736142143192426, pressure=74583.64471767405, wind_u=4.530581494878097, wind_v=2.498765220752687, longwave_radiation=199.98930474638982, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.014539644365905517, shortwave_radiation=0.0}"
A20000206_0800,"{temperature=-6.972849490570704, total_precipitation=0.08171771543750178, pressure=74665.20836706526, wind_u=4.665262998039598, wind_v=2.5730535383935726, longwave_radiation=199.98816577850184, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.014539644365905517, shortwave_radiation=0.0}"
A20000206_0900,"{temperature=-6.494219841510873, total_precipitation=0.045040665985586904, pressure=74746.81237374712, wind_u=4.799366043570698, wind_v=2.6459701245271554, longwave_radiation=210.5308987492062, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.014539644365905517, shortwave_radiation=0.0}"
A20000206_1000,"{temperature=-6.870020708507037, total_precipitation=0.050585465389181905, pressure=74734.6871126819, wind_u=4.554263467432422, wind_v=2.4090120661567767, longwave_radiation=210.5308001767126, convective_fraction=0.0, potential_energy=0.009369412154513077, potential_evaporation=-0.008561073529005715, shortwave_radiation=0.0}"
A20000206_1100,"{temperature=-7.24519452190958, total_precipitation=0.10046138277604447, pressure=74722.59362454095, wind_u=4.3090532070574605, wind_v=2.171148355744541, longwave_radiation=210.53003699919927, convective_fraction=0.0, potential_energy=0.018724355965430605, potential_evaporation=-0.008561073529005715, shortwave_radiation=0.0}"
A20000206_1200,"{temperature=-7.620923323301194, total_precipitation=0.3591969544688958, pressure=74710.53000276117, wind_u=4.0637824778419, wind_v=1.933912527266203, longwave_radiation=226.43683546400868, convective_fraction=0.0, potential_energy=0.028106579782974855, potential_evaporation=-0.008561073529005715, shortwave_radiation=0.0}"
A20000206_1300,"{temperature=-7.18077753541152, total_precipitation=0.010046036391749733, pressure=74769.99740122037, wind_u=4.4006734406494195, wind_v=1.6003158737609415, longwave_radiation=226.43751967308174, convective_fraction=0.0, potential_energy=2.9292341165750893, potential_evaporation=0.001980509153160117, shortwave_radiation=0.0}"
A20000206_1400,"{temperature=-6.740663776679443, total_precipitation=0.002417798271529944, pressure=74829.48300300963, wind_u=4.737599193748792, wind_v=1.2653041389402757, longwave_radiation=226.43797581246383, convective_fraction=0.0, potential_energy=5.829518513405306, potential_evaporation=0.001980509153160117, shortwave_radiation=0.0}"
A20000206_1500,"{temperature=-6.300455034928326, total_precipitation=0.004402487781980837, pressure=74888.98037192482, wind_u=5.074820940442336, wind_v=0.9318590717066569, longwave_radiation=238.9094535715273, convective_fraction=0.0, potential_energy=8.73041157467488, potential_evaporation=0.001980509153160117, shortwave_radiation=43.41426181075186}"
A20000206_1600,"{temperature=-5.134530193003265, total_precipitation=0.018277270342656766, pressure=74906.82646547207, wind_u=4.845606207029849, wind_v=0.9273437888284503, longwave_radiation=238.90502774939947, convective_fraction=0.0, potential_energy=6.0847100532898954, potential_evaporation=0.07580292680233039, shortwave_radiation=162.38448375072483}"
A20000206_1700,"{temperature=-3.9685261065245396, total_precipitation=0.046709887621835054, pressure=74924.67702929562, wind_u=4.615753375486655, wind_v=0.9236143247646135, longwave_radiation=238.90137835822975, convective_fraction=0.0, potential_energy=3.439494491537123, potential_evaporation=0.07580292680233039, shortwave_radiation=260.35865993870283}"
A20000206_1800,"{temperature=-2.8022646823314825, total_precipitation=0.05448658917083138, pressure=74942.51188475029, wind_u=4.385972333434577, wind_v=0.9188599276582822, longwave_radiation=216.20564154954866, convective_fraction=0.0, potential_energy=0.7936054339122515, potential_evaporation=0.07580292680233039, shortwave_radiation=404.69020932158946}"
A20000206_1900,"{temperature=-2.5100988486069853, total_precipitation=0.020268324267609134, pressure=74948.05955048738, wind_u=4.600610210674546, wind_v=0.9264737554187268, longwave_radiation=216.20453516304522, convective_fraction=0.0, potential_energy=7.458242372366569, potential_evaporation=0.10163773918325651, shortwave_radiation=458.7919343126156}"
A20000206_2000,"{temperature=-2.2170165944169633, total_precipitation=0.11892227959245658, pressure=74953.59247452852, wind_u=4.815195074136456, wind_v=0.9348783720352317, longwave_radiation=216.20384984951832, convective_fraction=0.0, potential_energy=14.122541237540386, potential_evaporation=0.10163773918325651, shortwave_radiation=465.4153618190354}"
A20000206_2100,"{temperature=-1.924755777673447, total_precipitation=0.07382818841980286, pressure=74959.12635668335, wind_u=5.029535301101696, wind_v=0.9421766021481631, longwave_radiation=235.6719902255846, convective_fraction=0.0, potential_energy=20.7868435265207, potential_evaporation=0.10163773918325651, shortwave_radiation=358.7405047353452}"
A20000206_2200,"{temperature=-2.306763674517471, total_precipitation=0.05076601872049041, pressure=75008.01891432208, wind_u=4.816183560206533, wind_v=0.5756727503658509, longwave_radiation=235.67369301709158, convective_fraction=0.0, potential_energy=13.999800093878564, potential_evaporation=0.06429262224922, shortwave_radiation=266.2398718833699}"
A20000206_2300,"{temperature=-2.6892909407184247, total_precipitation=0.013586953640555547, pressure=75056.85361211585, wind_u=4.602883452522297, wind_v=0.2083278570836901, longwave_radiation=235.67520390976634, convective_fraction=0.0, potential_energy=7.212776210067098, potential_evaporation=0.06429262224922, shortwave_radiation=174.62897291327286}"
A20000207_0000,"{temperature=-3.0714854902393705, total_precipitation=0.03322342270204603, pressure=75105.73651103076, wind_u=4.389501339150125, wind_v=-0.15891211309606, longwave_radiation=205.02310738051207, convective_fraction=0.0, potential_energy=0.42525377585111973, potential_evaporation=0.06429262224922, shortwave_radiation=40.77818505121906}"
A20000207_0100,"{temperature=-4.480960046387034, total_precipitation=0.0, pressure=75150.76406715078, wind_u=4.265881216003535, wind_v=0.10839219151227329, longwave_radiation=205.02660739431775, convective_fraction=0.0, potential_energy=0.2835066405279289, potential_evaporation=-0.015951843057127876, shortwave_radiation=0.0}"
A20000207_0200,"{temperature=-5.890578181516947, total_precipitation=0.02135866581991883, pressure=75195.77123809265, wind_u=4.143059889002403, wind_v=0.3754463373553859, longwave_radiation=205.0304202446365, convective_fraction=0.0, potential_energy=0.14184830328298867, potential_evaporation=-0.015951843057127876, shortwave_radiation=0.0}"
A20000207_0300,"{temperature=-7.299815556230484, total_precipitation=0.016527536792114203, pressure=75240.79244553666, wind_u=4.020485683518793, wind_v=0.642691553690256, longwave_radiation=182.249930143303, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.015951843057127876, shortwave_radiation=0.0}"
A20000207_0400,"{temperature=-7.669661761051421, total_precipitation=0.017784534886931557, pressure=75243.23804152747, wind_u=3.812011486318581, wind_v=1.0003465223513823, longwave_radiation=182.2512049589973, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.024121520280531248, shortwave_radiation=0.0}"
A20000207_0500,"{temperature=-8.039275754479915, total_precipitation=0.015029778833144661, pressure=75245.72491758021, wind_u=3.603061269569541, wind_v=1.3573457216224434, longwave_radiation=182.2527031504543, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.024121520280531248, shortwave_radiation=0.0}"
A20000207_0600,"{temperature=-8.408498219068377, total_precipitation=0.025811820415826834, pressure=75248.153072038, wind_u=3.394936355854986, wind_v=1.7149667283319991, longwave_radiation=176.7588643454733, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.024121520280531248, shortwave_radiation=0.0}"
A20000207_0700,"{temperature=-8.525282878206347, total_precipitation=5.166192671949639E-4, pressure=75246.39254852693, wind_u=3.4481304359831033, wind_v=1.7839006543888243, longwave_radiation=176.75863903691652, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.022778617776182453, shortwave_radiation=0.0}"
A20000207_0800,"{temperature=-8.641059447220897, total_precipitation=0.017271369798713316, pressure=75244.55084131763, wind_u=3.5010542010657972, wind_v=1.8534006129718088, longwave_radiation=176.75872159483131, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.022778617776182453, shortwave_radiation=0.0}"
A20000207_0900,"{temperature=-8.756883231631534, total_precipitation=0.03691712179363284, pressure=75242.74557611068, wind_u=3.554088687632881, wind_v=1.9230634784769598, longwave_radiation=174.7046776375736, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.022778617776182453, shortwave_radiation=0.0}"
A20000207_1000,"{temperature=-8.898808570560762, total_precipitation=0.018741038738713873, pressure=75255.70870696085, wind_u=3.4969218875113905, wind_v=2.0901275644034567, longwave_radiation=174.7051348814094, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.019587326393682544, shortwave_radiation=0.0}"
A20000207_1100,"{temperature=-9.040544219565374, total_precipitation=0.017271369798713316, pressure=75268.6477146092, wind_u=3.4395587707430217, wind_v=2.2575823508297215, longwave_radiation=174.70585912692954, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.019587326393682544, shortwave_radiation=0.0}"
A20000207_1200,"{temperature=-9.181813512991116, total_precipitation=0.010054035397741395, pressure=75281.54092028609, wind_u=3.3819882927906786, wind_v=2.424802716956126, longwave_radiation=173.75748460667646, convective_fraction=0.0, potential_energy=0.0, potential_evaporation=-0.019587326393682544, shortwave_radiation=0.0}"
