new_site_id,site_id,lat_wgs84,lon_wgs84,site_name,country,continent,DO_index,DO_ts_availability,DO_ts_continuity,DO_nobs_1950,DO_nobs,DO_min,DO_max,DO_mean,DO_median,DO_std,DO_iqr,DO_tstart,DO_tend,DO_tyear,DO_tdata,DO_tgap,DO_pct_min,DO_pct_max,DO_pct_mean,DO_pct_median,DO_pct_std,DO_pct_iqr,WT_index,WT_ts_availability,WT_ts_continuity,WT_nobs_1950,WT_nobs,WT_min,WT_max,WT_mean,WT_median,WT_std,WT_iqr,WT_tstart,WT_tend,WT_tyear,WT_tdata,WT_tgap,WT_pct_min,WT_pct_max,WT_pct_mean,WT_pct_median,WT_pct_std,WT_pct_iqr
g762,CAN00150,48.9444,-57.9367,"Corner Brook at bridge, O'Connell Drive",Canada,North America,DO_350,0.31,0.01,64,64,8.8,14.91,11.7046875,11.825,1.835115124,3.33,2002,2019,18,18,0,0.00546,0.0164,0.00971,0.0109,0.003,0.00273,WT_368,0.31,0.01,63,63,0.01,19.32,7.777301587,7.21,6.311634727,12.04,2002,2019,18,18,0,0.00273,0.0164,0.00956,0.0109,0.00314,0.00273
g763,CAN00152,48.7726,-123.6633,Cowichan River 1Km downstream of Somenos Creek,Canada,North America,DO_351,0.56,0.29,195,195,6.6,14,10.35328205,10,1.44164264,1.83,2005,2019,15,9,6,0.0109,0.082,0.0592,0.0656,0.0202,0.0109,WT_369,0.99,0.55,518,518,1,24.3,11.44208494,10.3,5.73441994,9.6,2000,2019,20,20,0,0.0519,0.082,0.0708,0.071,0.00632,0.00546
g764,CAN00154,52.4676,-125.2936,Dean River upstream from Anahim Lake,Canada,North America,DO_352,0.55,0.09,107,107,5.99,15.1,9.232242991,9.09,1.478625897,1.905,2008,2018,11,11,0,0.00273,0.0464,0.0266,0.0301,0.0136,0.0123,WT_370,0.61,0.09,119,119,0.1,24.2,9.539411765,10.2,6.500708735,11.4,2008,2018,11,11,0,0.0164,0.041,0.0296,0.0301,0.00827,0.0109
g765,CAN00162,49.8315,-57.2868,Eagle Mountain Brook below Eagle Mountain Pond,Canada,North America,DO_354,0.24,0.01,42,42,8.1,36.89,12.005,10.83,4.46183395,3.7675,2004,2018,15,15,0,0.00273,0.0137,0.00765,0.0082,0.00296,0.00273,WT_375,0.26,0.02,45,45,0.07,21.3,9.365777778,10.08,6.87127072,12.54,2004,2018,15,15,0,0.00273,0.0164,0.0082,0.0082,0.00327,0.0041
g766,CAN00167,48.7594,-56.5919,Exploits River Approximately 0.5 Km downstream from Dam,Canada,North America,DO_357,0.33,0.01,73,73,7.95,15.85,11.74780822,11.96,1.688935601,2.77,2001,2019,19,19,0,0.00273,0.0164,0.0105,0.0109,0.00344,0.00546,WT_380,0.34,0.01,74,74,0.01,20.16,8.493959459,7.605,5.878195405,8.16,2001,2019,19,19,0,0.00546,0.0164,0.0106,0.0109,0.00327,0.0041
g767,CAN00168,48.9306,-55.6669,Exploits River at Grand Falls,Canada,North America,DO_358,0.37,0.03,82,82,8.3,21.35,12.22658537,11.82,2.303417332,2.9225,2001,2019,19,19,0,0.0082,0.0191,0.0118,0.0109,0.00353,0.00273,WT_381,0.35,0.04,76,76,0.08,21.82,10.52118421,10.35,6.077479953,9.36,2001,2019,19,19,0,0.00546,0.0219,0.0109,0.0109,0.00376,0.00273
g768,CAN00169,49.0231,-55.4481,Exploits River at Transcanadian Highway (Sir Robert Bond Bridge),Canada,North America,DO_359,0.38,0.06,83,83,7.48,21.69,12.25662651,11.9,2.519163758,3.85,2001,2019,19,19,0,0.00546,0.0301,0.0119,0.0109,0.00563,0.00546,WT_382,0.35,0.05,75,75,0.07,22.93,10.84333333,11.5,6.832971403,11.29,2001,2019,19,19,0,0.00546,0.0246,0.0108,0.0109,0.00486,0.0041
g769,CAN00170,48.9492,-55.9156,Exploits River at Western Edge of Gravel Pit,Canada,North America,DO_360,0.31,0.03,68,68,8.55,16.61,11.5525,11.43,1.691749404,2.055,2001,2019,19,19,0,0.00546,0.0191,0.00978,0.0109,0.0032,0.00273,WT_383,0.31,0.03,67,67,0.02,22.7,10.76597015,10.53,5.902827792,8.27,2001,2019,19,19,0,0.00546,0.0191,0.00963,0.0082,0.0032,0.00273
g770,CAN00171,48.9367,-55.6181,"Exploits River, below Grand Falls",Canada,North America,DO_361,0.27,0.01,59,59,9,15.87,12.15254237,11.91,1.975451579,3.325,2001,2019,19,17,2,0.00273,0.0164,0.00948,0.0109,0.0035,0.00273,WT_384,0.25,0.01,54,54,0.02,22.1,10.83685185,11.13,6.370367965,10.695,2001,2019,19,17,2,0.00273,0.0137,0.00868,0.0082,0.00294,0.00273
g771,CAN00173,51.4433,-116.2117,Bow River at Hwy 1 above Lake Louise,Canada,North America,DO_363,0.93,0.18,235,235,8.03,15.75,11.14685106,11.46,1.415530872,2.15,2000,2019,20,20,0,0.0219,0.0492,0.0321,0.0301,0.00651,0.00342,WT_386,0.77,0.27,225,225,0.001,25,12.17361778,13.1,7.630783306,10.24,2000,2019,20,20,0,0.0137,0.0574,0.0307,0.0246,0.0152,0.028
g772,CAN00174,51.1228,-115.3867,Bow River About 4.5 Km above Canmore,Canada,North America,DO_364,0.89,0.11,225,225,8.03,16.5,11.29053333,11.42,1.29449881,1.89,2000,2019,20,20,0,0.0109,0.0492,0.0307,0.0301,0.00797,6.83E-04,WT_387,0.89,0.34,277,277,0.006,25,10.88545126,12.7,6.178686551,9.12,2000,2019,20,20,0,0.0109,0.0656,0.0378,0.0314,0.0171,0.0328
g773,CAN00175,49.1485,-123.0387,Fraser River (Main Arm) at Gravesend Reach - Buoy,Canada,North America,DO_365,0.44,0.08,75,75,8.96,13.34,10.92253333,11,1.244310396,2.18,2008,2019,12,12,0,0.00273,0.0464,0.0171,0.015,0.0132,0.015,WT_388,0.75,0.15,157,157,2.2,22.8,13.09267516,13.1,5.143672661,8.7,2008,2019,12,12,0,0.0109,0.0546,0.0357,0.0355,0.0104,0.00342
g774,CAN00176,49.3872,-121.4508,Fraser River at Hope,Canada,North America,DO_366,0.89,0.36,403,403,8,16,11.9264268,11.97,1.72556174,3.305,2000,2019,20,20,0,0.0082,0.0792,0.0551,0.0601,0.0186,0.0253,WT_389,0.91,0.35,406,406,0.04,22,9.212389163,8.95,5.805141991,10.3,2000,2019,20,20,0,0.0164,0.0792,0.0555,0.0601,0.0159,0.0164
g775,CAN00177,52.5296,-122.4423,Fraser River at Marguerite,Canada,North America,DO_367,0.86,0.48,115,115,8.61,14.32,10.90191304,10.55,1.563112558,2.33,2014,2019,6,6,0,0.0273,0.0738,0.0524,0.0478,0.0182,0.0232,WT_390,0.75,0.09,363,363,0.1,20.4,9.026997245,9,5.183461648,8.2,2000,2019,20,20,0,0.0219,0.0792,0.0496,0.0492,0.0127,0.0137
g776,CAN00178,52.0028,-116.4719,North Saskatchewan River at Whirlpool Point,Canada,North America,DO_368,0.94,0.17,262,262,8.3,15.92,11.33851145,11.41,1.111320914,1.6,2000,2019,20,20,0,0.0191,0.0601,0.0358,0.0328,0.01,0.0109,WT_391,0.87,0.32,279,279,0.02,25,9.903168459,9,7.27027575,11.66,2000,2019,20,20,0,0.0164,0.0574,0.0381,0.0355,0.0151,0.0253
g777,CAN00179,53.6014,-110.0083,North Saskatchewan River at Hwy 17,Canada,North America,DO_369,0.95,0.19,242,242,6.95,14.97,10.60020661,10.52,1.743283899,2.33875,2000,2019,20,20,0,0.0246,0.0546,0.0331,0.0301,0.00741,0.00273,WT_392,0.78,0.2,220,220,0.001,25,14.95045,17.375,8.003191683,10.205,2000,2019,20,20,0,0.0137,0.0574,0.0301,0.0273,0.0138,0.0178
g778,CAN00180,48.9944,-54.8675,Gander River below Gander Lake at Appleton,Canada,North America,DO_370,0.36,0.01,90,90,8.67,28.7,11.96477778,11.67,2.267789216,2.165,2001,2019,19,19,0,0.00546,0.0219,0.0129,0.0109,0.00575,0.00956,WT_393,0.37,0.02,92,92,0.37,19.13,8.906413043,7.78,5.531926434,9.315,2001,2019,19,19,0,0.00546,0.0219,0.0132,0.0109,0.00578,0.0082
g779,CAN00181,52.6644,-117.8808,Athabasca River above Athabasca Falls,Canada,North America,DO_371,0.5,0.14,133,133,9.42,14.5,11.43729323,11.4,1.148758307,2.01,2000,2019,20,20,0,0.00546,0.0519,0.0182,0.0109,0.0139,0.00956,WT_394,0.48,0.27,155,155,0.01,25,14.21683226,15.45,7.041583056,7.29,2000,2019,20,20,0,0.00546,0.0574,0.0212,0.0109,0.02,0.0253
g780,CAN00182,47.5047,-53.2911,"Goulds Brook, Conception Bay",Canada,North America,DO_372,0.31,0.01,68,68,8.25,15.23,11.79176471,12.05,1.681140286,2.64,2001,2019,19,19,0,0.00273,0.0164,0.00978,0.0109,0.00368,0.00546,WT_395,0.27,0.01,59,59,0.02,22.57,9.683288136,9.49,6.473913433,10.365,2001,2019,19,19,0,0.00273,0.0164,0.00848,0.0082,0.00445,0.00546
g781,CAN00183,58.1725,-111.3703,Athabasca River at 27 Baseline,Canada,North America,DO_373,0.36,0.03,99,99,7.6,13.41,9.844343434,9.2,1.606958505,2.82,2000,2019,20,12,8,0.0109,0.0383,0.0225,0.0219,0.00738,0.00615,WT_396,0.34,0.03,101,101,0.5,25,15.86108911,17.7,6.088342164,6.895,2000,2019,20,15,5,0.0082,0.0328,0.0184,0.0164,0.00624,0.0041
g782,CAN00184,47.8694,-59.1181,"Grand Codroy River, 50 M Overfall Brook",Canada,North America,DO_374,0.26,0.01,56,56,6.46,14.65,11.68375,11.495,1.824986737,3.025,2001,2019,19,19,0,0.00273,0.0137,0.00805,0.0082,0.00334,0.00546,WT_397,0.25,0.01,55,55,0.04,22.13,8.975272727,8.69,6.338523854,11.22,2001,2019,19,19,0,0.00273,0.0137,0.00791,0.0082,0.00286,0.0041
g783,CAN00186,59.1139,-112.4264,Peace River at Peace Point,Canada,North America,DO_376,0.35,0.03,88,88,7.95,14,10.75147727,10.425,1.896935544,3.6425,2000,2019,20,12,8,0.0082,0.0355,0.02,0.0191,0.00673,0.00615,WT_399,0.33,0.03,92,92,0.01,25,14.41957609,16,6.646687666,9.34,2000,2019,20,15,5,0.0082,0.0273,0.0168,0.0164,0.00601,0.00546
g784,CAN00187,59.8692,-111.5858,Slave River at Fitzgerald,Canada,North America,DO_377,0.46,0.03,114,114,6.4,16.6,10.93859649,10.765,2.21144514,3.8275,2000,2019,20,20,0,0.00546,0.0273,0.0156,0.015,0.00753,0.0143,WT_400,0.42,0.03,107,107,0.1,22,10.76290654,11.82,7.808752632,16.908,2000,2019,20,20,0,0.00546,0.0219,0.0146,0.0164,0.00471,0.00615
g785,CAN00188,49.0897,-112.4017,Milk River at Western Crossing of international Boundary,Canada,North America,DO_378,0.77,0.09,115,115,5,14.15,10.42156522,10.34,1.927570324,3.14,2006,2019,14,14,0,0.00273,0.0301,0.0224,0.0273,0.0091,0.013,WT_401,0.59,0.06,84,84,0.002,26.23,10.56538095,10.31,7.907065804,14.6025,2006,2018,13,13,0,0.00546,0.0273,0.0177,0.0164,0.00565,0.00546
g786,CAN00189,49.1242,-110.8942,Milk River at Eastern Crossing of international Boundary,Canada,North America,DO_379,0.79,0.14,118,118,6.03,15.03,10.11338983,9.48,2.119792048,3.45,2006,2019,14,14,0,0.00273,0.0328,0.023,0.026,0.00901,0.0123,WT_402,0.66,0.08,95,95,0.007,25.85,12.12177895,12.46,8.381058483,14.93,2006,2018,13,13,0,0.0082,0.0301,0.02,0.0219,0.00664,0.0082
g787,CAN00190,52.4033,-121.4342,Horsefly River above Quesnel Lake,Canada,North America,DO_380,0.91,0.32,283,283,6.62,17,11.06303887,11.27,1.655106419,2.415,2006,2019,14,14,0,0.0109,0.071,0.0552,0.0601,0.0165,0.0123,WT_403,0.91,0.3,284,284,0.1,21.2,7.997183099,7.05,6.198973398,11.875,2006,2019,14,14,0,0.0137,0.071,0.0554,0.0601,0.0154,0.015
g788,CAN00191,49.1661,-57.4156,Humber Canal at Main Dam Road,Canada,North America,DO_381,0.28,0.01,45,45,8.54,16.24,11.72311111,12.28,1.507595651,2.36,2006,2019,14,14,0,0.00546,0.0109,0.00878,0.00956,0.00244,0.00478,WT_404,0.29,0.01,47,47,0.18,19.04,7.23106383,5.7,5.426986606,8.91,2006,2019,14,14,0,0.00546,0.0109,0.00917,0.00956,0.00204,0.00273
g789,CAN00192,48.9836,-57.7611,Humber River at Humber Village Bridge,Canada,North America,DO_382,0.4,0.03,83,83,9.18,18.98,11.71987952,11.79,1.666118239,2.385,2002,2019,18,18,0,0.00546,0.0273,0.0126,0.0109,0.00586,0.00751,WT_405,0.41,0.03,85,85,0.49,18.21,7.423058824,6.53,5.618741179,10.58,2002,2019,18,18,0,0.00273,0.0273,0.0129,0.0109,0.00599,0.00751
g790,CAN00193,49.3483,-57.2353,Humber River at Little Falls Bridge,Canada,North America,DO_383,0.27,0.01,55,55,8.16,15.45,11.38890909,11.61,2.010905152,3.375,2002,2019,18,17,1,0.00273,0.0137,0.00884,0.0082,0.00298,0.00273,WT_406,0.25,0.01,51,51,0.03,24.44,10.93078431,9.86,7.25852212,12.16,2002,2019,18,17,1,0.00273,0.0109,0.0082,0.0082,0.00256,0.00273
g791,CAN00195,46.4394,-67.7444,Big Presqu'Ile River at Tracey Mills above Old Dam,Canada,North America,DO_384,0.5,0.06,78,78,7.82,91.5,12.57794872,11.81,9.264356127,3.4075,2006,2019,14,13,1,0.0082,0.0273,0.0164,0.0164,0.00523,0.00546,WT_408,0.48,0.06,75,75,0.03,24.13,10.796104,12.27,8.108796534,15.19,2006,2019,14,13,1,0.0082,0.0273,0.0158,0.0164,0.00525,0.00546
g792,CAN00196,47.4958,-53.0175,Kelligrew'S River Approximately 100 M downstream Kelliview Crescent,Canada,North America,DO_385,0.28,0.01,63,63,7.25,14.49,11.76412698,11.7,1.988914751,3.89,2001,2019,19,19,0,0.00273,0.0137,0.00906,0.0109,0.00274,0.00273,WT_409,0.25,0.01,57,57,0.06,19.82,8.495614035,9.1,6.450129502,11.95,2001,2019,19,19,0,0.00273,0.0109,0.0082,0.0082,0.00302,0.00546
g793,CAN00200,45.1686,-67.3006,St. Croix River at Milltown Canadian Side,Canada,North America,DO_389,0.59,0.05,93,93,4.3,38.7,11.30139785,10.97,3.75260014,4.67,2006,2019,14,14,0,0.00546,0.0301,0.0181,0.0178,0.00724,0.00546,WT_413,0.55,0.05,88,88,0.05,28.71,11.63795455,11.375,9.039701692,17.995,2006,2019,14,14,0,0.00546,0.0273,0.0172,0.0164,0.00638,0.00683
g794,CAN00205,45.6641,-67.7336,"St. Croix River at Forest City, Maine",Canada,North America,DO_394,0.57,0.06,94,94,5.24,15.19,11.0756383,10.835,2.127513849,4.0525,2006,2019,14,13,1,0.0082,0.0383,0.0198,0.0191,0.00843,0.0082,WT_418,0.58,0.06,96,96,0.3,26.87,11.04010417,9.53,8.545475534,17.225,2006,2019,14,13,1,0.0082,0.0383,0.0202,0.0191,0.00846,0.0082
g795,CAN00211,47.5725,-52.7392,Leary'S Brook at Clinch Crescent Bridge,Canada,North America,DO_396,0.4,0.04,96,96,6.92,14.71,11.54770833,11.415,1.877874206,3.3,2001,2019,19,19,0,0.00273,0.0328,0.0138,0.0137,0.00765,0.00546,WT_420,0.4,0.04,96,96,0.16,20.31,8.454583333,8.325,6.110514651,10.8,2001,2019,19,19,0,0.00273,0.0301,0.0138,0.0137,0.00754,0.00546
g796,CAN00218,48.3044,-57.7186,"Lloyds River at bridge, Route 480, Burgeo Road",Canada,North America,DO_398,0.33,0.01,67,67,2.86,14.93,11.00835821,10.81,2.229749678,3.9,2002,2019,18,18,0,0.00273,0.0137,0.0102,0.0109,0.00373,0.00546,WT_422,0.31,0.01,63,63,0.01,24.3,9.909365079,10.53,7.447397223,13.415,2002,2019,18,18,0,0.00273,0.0137,0.00956,0.00956,0.00341,0.00478
g797,CAN00219,49.4019,-57.7303,"Lomond River at bridge, Route 431",Canada,North America,DO_399,0.26,0.01,58,58,8.07,15.41,11.77724138,11.755,1.947864141,3.585,2001,2019,19,18,1,0.00273,0.0109,0.0088,0.0109,0.0029,0.00273,WT_423,0.26,0.01,57,57,0.1,20.8,8.597894737,7.89,6.618969961,11.01,2001,2019,19,18,1,0.00273,0.0109,0.00865,0.00956,0.00285,0.00273
g798,CAN00229,49.7694,-56.9042,"Main River at bridge, Route 420",Canada,North America,DO_401,0.32,0.01,66,66,8.4,34.33,12.41575758,12.155,3.422789263,3.32,2002,2019,18,18,0,0.00273,0.0164,0.01,0.00956,0.00398,0.00546,WT_425,0.33,0.01,67,67,0.01,24.79,8.878358209,8.58,6.960993398,10.57,2002,2019,18,18,0,0.00273,0.0164,0.0102,0.0109,0.00373,0.00546
g799,CAN00230,47.5197,-52.9447,Manual'S River at Manuals Access Highway,Canada,North America,DO_402,0.29,0.01,53,53,7.49,15.15,11.99528302,12.08,2.219138436,4.03,2004,2019,16,16,0,0.00273,0.0137,0.00905,0.0109,0.00295,0.00342,WT_426,0.23,0.01,42,42,0.01,22.37,10.25452381,10.01,7.03364916,11.6,2004,2019,16,15,1,0.00273,0.0109,0.00765,0.0082,0.00257,0.00137
g800,CAN00238,52.6147,-61.1864,Minipi River below Minipi Lake,Canada,North America,DO_403,0.37,0.04,42,42,9.03,13.82,11.0152381,10.695,1.552323574,3.025,2009,2018,10,10,0,0.00546,0.0164,0.0115,0.0109,0.00282,0.00205,WT_427,0.35,0.03,49,49,0.63,19.25,10.26061224,11.15,6.149245349,11.99,2007,2018,12,11,1,0.00546,0.0164,0.0122,0.0137,0.00283,0.00273
g801,CAN00247,53.9272,-122.765,Nechako River at Prince George,Canada,North America,DO_407,0.96,0.25,449,449,7,14.07,10.64202673,10.8,1.675243223,2.8,2000,2019,20,20,0,0.0355,0.0765,0.0613,0.0628,0.00829,0.00615,WT_432,0.87,0.15,393,393,0.1,24,9.552519084,9,6.934682431,13.6,2000,2019,20,20,0,0.0355,0.0656,0.0537,0.0546,0.00905,0.0116
g802,CAN00248,45.0017,-64.8223,South Annapolis River,Canada,North America,DO_408,0.54,0.04,78,78,7.93,14.91,11.21179487,10.435,2.238039346,4.26,2008,2019,12,12,0,0.0082,0.0273,0.0178,0.0164,0.006,0.00478,WT_433,0.51,0.04,73,73,0.01,24.31,11.53160274,13.29,7.282720204,13.65,2008,2019,12,12,0,0.0082,0.0246,0.0166,0.0164,0.00427,0.00546
g803,CAN00249,45.0647,-64.6358,Cornwallis River at bridge 850 M North of Highway 1,Canada,North America,DO_409,0.68,0.36,109,109,6.02,13.78,10.49321101,10.44,1.992761382,3.47,2006,2019,14,14,0,0.00546,0.0355,0.0213,0.0164,0.0101,0.0178,WT_434,0.66,0.36,106,106,0.014,21.03,10.04073585,11.015,6.982656943,13.4275,2006,2019,14,14,0,0.00546,0.0355,0.0207,0.0164,0.0103,0.0184
g804,CAN00251,45.5578,-61.9039,South River at St. Andrews,Canada,North America,DO_411,0.46,0.01,72,72,4.29,14.91,11.78013889,11.765,1.873438124,2.81,2006,2019,14,14,0,0.00546,0.0164,0.0141,0.0164,0.00353,0.00273,WT_436,0.44,0.01,68,68,0.02,21.38,9.808382353,10.4,6.643589349,10.6325,2006,2019,14,14,0,0.00546,0.0164,0.0133,0.015,0.00399,0.00546
g805,CAN00252,49.2421,-122.5961,"North Alouette River at 132nd Ave Bridge, near Maple Ridge",Canada,North America,DO_412,1,0.57,351,351,7.2,16,11.21156695,11,1.549224726,2.365,2005,2019,15,15,0,0.0273,0.0738,0.0639,0.0656,0.011,0.00273,WT_437,1,0.52,394,394,0.2,21.5,8.98428934,8,5.030220644,8,2004,2019,16,16,0,0.0546,0.082,0.0673,0.0656,0.00697,0.00342
g806,CAN00253,43.9242,-65.8667,Tusket River at Wilson'S Bridge,Canada,North America,DO_413,0.44,0.01,69,69,7.09,14.44,10.47434783,9.87,2.392856082,4.2,2006,2019,14,14,0,0.00546,0.0164,0.0135,0.0164,0.00393,0.00546,WT_438,0.44,0.01,69,69,0.08,25.95,12.03030435,14.01,8.435521232,15.99,2006,2019,14,14,0,0.00546,0.0164,0.0135,0.0164,0.00393,0.00546
g807,CAN00254,43.8381,-65.3694,"Roseway River (Wsc Gauge), Lower Ohio",Canada,North America,DO_414,0.48,0.02,74,74,7.89,14.78,10.79486486,10.195,2.195596616,4.015,2006,2019,14,14,0,0.0082,0.0191,0.0144,0.0164,0.00362,0.00478,WT_439,0.44,0.02,68,68,0.35,26.06,12.8405,14.58,7.774590241,13.6975,2006,2019,14,14,0,0.0082,0.0164,0.0133,0.0137,0.00319,0.00478
g808,CAN00256,47.2731,-53.8403,Northeast River 4.7 Km East of Dunville,Canada,North America,DO_415,0.35,0.02,84,84,8.36,15.17,11.73309524,11.42,1.968460181,3.355,2001,2019,19,19,0,0.00273,0.0219,0.0121,0.0109,0.00613,0.00683,WT_440,0.32,0.02,78,78,0.02,21.53,9.646282051,10.03,6.489057745,11.725,2001,2019,19,19,0,0.00273,0.0219,0.0112,0.0109,0.00675,0.00956
g809,CAN00257,48.3956,-54.1981,"Northwest River at Transcanadian Highway, Port Blandord",Canada,North America,DO_416,0.3,0.01,65,65,9.2,17,12.41215385,12.3,2.169118839,3.7,2001,2019,19,19,0,0.00546,0.0109,0.00935,0.0109,0.00189,0.00273,WT_441,0.3,0.01,66,66,0.1,25.43,11.19393939,11.475,7.574007349,13.2325,2001,2019,19,19,0,0.00546,0.0109,0.00949,0.0109,0.00167,0.00273
g810,CAN00267,56.1261,-120.0564,Peace River above Alces River,Canada,North America,DO_419,0.74,0.32,181,181,5,17,10.77977901,10.67,1.920684472,2,2005,2019,15,14,1,0.00546,0.071,0.0353,0.0301,0.0213,0.0307,WT_444,0.66,0.1,244,244,0.2,19,7.590491803,7,5.144478978,9.6,2000,2019,20,19,1,0.00546,0.0656,0.0351,0.0273,0.0201,0.0355
g811,CAN00278,48.7975,-58.0619,Pinchgut Brook at bridge of Transcanadian Highway,Canada,North America,DO_421,0.47,0.03,102,102,7.81,15.73,11.09156863,10.93,1.768196343,3.2325,2002,2019,18,18,0,0.00273,0.0301,0.0155,0.0137,0.00828,0.0123,WT_447,0.48,0.03,105,105,0.01,23.13,8.739809524,8.03,6.528501857,12,2002,2019,18,18,0,0.00546,0.0301,0.0159,0.015,0.00791,0.0102
g812,CAN00286,50.1817,-57.6036,"Portland Creek at bridge, Route 430",Canada,North America,DO_423,0.3,0.01,47,47,8.66,13.99,11.77234043,11.81,1.651101362,2.9,2006,2019,14,14,0,0.00273,0.0109,0.00917,0.0109,0.00254,0.00273,WT_449,0.31,0.01,49,49,0.03,22.09,8.171428571,7.23,6.409863818,9.31,2006,2019,14,14,0,0.00546,0.0109,0.00956,0.0109,0.00208,0.00273
g813,CAN00288,44.4467,-64.5917,"Lahave River at West Northfield Bridge On Bruhm Road, (Wsc Gauge)",Canada,North America,DO_424,0.48,0.03,77,77,6.45,15.2,11.05415584,10.43,2.545727251,5.13,2006,2019,14,14,0,0.0082,0.0191,0.015,0.0164,0.00351,0.00205,WT_450,0.47,0.03,75,75,0.01,25.25,11.40633333,12.74,8.347107773,16.17,2006,2019,14,14,0,0.0082,0.0191,0.0146,0.0164,0.00395,0.0041
g814,CAN00289,44.7303,-63.6631,"Sackville River at Highway 1 Bridge, Bedford",Canada,North America,DO_425,0.78,0.28,121,121,7.44,50,11.65801653,10.98,4.112952431,4.12,2006,2019,14,14,0,0.00273,0.0355,0.0236,0.0232,0.00926,0.0102,WT_451,0.76,0.28,118,118,0.01,25.42,11.02111017,11.065,7.715943531,14.855,2006,2019,14,14,0,0.00273,0.0328,0.023,0.0232,0.00908,0.0102
g815,CAN00290,44.7636,-63.6889,Little Sackville River at Sackville Cross Road,Canada,North America,DO_426,0.76,0.28,126,126,8.7,50,12.30619048,11.83,3.848149656,3.165,2006,2019,14,14,0,0.0082,0.0383,0.0246,0.0219,0.00953,0.013,WT_452,0.74,0.21,123,123,0.03,23.35,10.5776748,10.62,7.230822511,13.175,2006,2019,14,14,0,0.0082,0.0383,0.024,0.0219,0.00971,0.013
g816,CAN00292,45.1739,-61.98,"St. Mary'S River at Highway 7 Bridge, Stillwater",Canada,North America,DO_427,0.48,0.02,75,75,7.65,14.61,11.158,10.65,2.126725055,3.85,2006,2019,14,14,0,0.00273,0.0191,0.0146,0.0164,0.00437,0.00273,WT_453,0.46,0.02,71,71,0.01,24.09,10.90115493,11.85,7.926946547,15.49,2006,2019,14,14,0,0.00273,0.0191,0.0139,0.015,0.00448,0.00478
g817,CAN00293,46.6428,-60.9439,Cheticamp River above Robert Brook (Wsc Gauge),Canada,North America,DO_428,0.48,0.02,75,75,3.22,17.46,12.09666667,12.01,2.361376908,3.65,2006,2019,14,14,0,0.00546,0.0191,0.0146,0.0164,0.00395,0.00273,WT_454,0.44,0.02,70,70,0.01,25.54,9.41,9.265,7.429306247,13.1375,2006,2019,14,14,0,0.00546,0.0219,0.0137,0.0137,0.00442,0.00478
g818,CAN00294,52.84196,-122.22484,Quesnel at Gravelle,Canada,North America,DO_429,0.97,0.49,109,109,8.35,15.26,10.55816514,10.24,1.572864316,2.69,2014,2019,6,6,0,0.0191,0.0984,0.0496,0.0328,0.0331,0.041,WT_455,0.95,0.47,108,108,0.5,21.5,10.9,11.15,6.296045339,11.525,2014,2019,6,6,0,0.0219,0.0984,0.0492,0.0314,0.0324,0.0396
g819,CAN00295,52.6155,-121.57268,Quesnel at Likely,Canada,North America,DO_430,0.94,0.39,93,93,7.8,55.245,12.39258065,10.41,9.019383192,1.86,2014,2019,6,6,0,0.0273,0.0902,0.0423,0.0328,0.0239,0.00956,WT_456,0.99,0.56,98,98,0.2,18.2,7.681204082,6.1,5.255667321,8.15,2014,2019,6,6,0,0.0246,0.0984,0.0446,0.0342,0.0273,0.013
g820,CAN00296,47.5839,-52.6808,Quidi Vidi Lake Outlet at St. John'S,Canada,North America,DO_431,0.36,0.01,78,78,5.2,14.28,11.29397436,11.59,2.003322137,3.3275,2001,2019,19,19,0,0.00546,0.0164,0.0112,0.0109,0.00272,0.00137,WT_457,0.36,0.01,79,79,0.32,23.5,10.0735443,9.7,7.441583792,15.325,2001,2019,19,19,0,0.00546,0.0164,0.0114,0.0109,0.00262,0.00137
g821,CAN00303,47.5744,-52.71,Rennie'S River at Portugal Cove Road Bridge,Canada,North America,DO_434,0.3,0.01,66,66,6.9,15.05,11.63833333,11.315,2.202760913,3.8825,2001,2019,19,18,1,0.00546,0.0137,0.01,0.0109,0.0021,0.00205,WT_460,0.29,0.01,62,62,0.25,25.78,9.882258065,10.63,7.111662188,13.9825,2001,2019,19,18,1,0.00273,0.0137,0.00941,0.0109,0.00285,0.00273
g822,CAN00304,47.5778,-52.7008,Rennie's River at St. John'S,Canada,North America,DO_435,0.39,0.04,85,85,6.69,14.54,11.428,11.35,2.046914519,3.6,2001,2019,19,19,0,0.0082,0.0219,0.0122,0.0109,0.0038,0.00273,WT_461,0.39,0.05,86,86,0.38,23.81,9.15627907,9.145,6.676761992,12.965,2001,2019,19,19,0,0.0082,0.0219,0.0124,0.0109,0.00411,0.00273
g823,CAN00316,60.0044,-116.9692,Hay River near Alberta/Nwt Border,Canada,North America,DO_437,0.22,0.01,53,53,3.71,13.81,8.742641509,8.9,2.122912686,2.36,2000,2019,20,19,1,0.00273,0.0164,0.00762,0.0082,0.0031,0.00273,WT_465,0.25,0.02,60,60,0.1,23.3,13.33666667,14,7.095020136,11.15,2000,2019,20,20,0,0.00273,0.0164,0.0082,0.0082,0.00332,0.00546
